Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323704,-,-,-,33.49,-112.06,0,343,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2013,1,1,0,30,7,1.18,0.075,0.62,0,0,0,0,0,-3.3000000000000003,0,0,0,0,0.313,47.980000000000004,90.09,0.92,0.18,975,0.7000000000000001,209,0.9
2013,1,1,1,30,6.300000000000001,1.17,0.073,0.62,0,0,0,0,0,-4.6000000000000005,0,0,0,0,0.311,45.49,102.12,0.92,0.18,975,0.7000000000000001,201,0.9
2013,1,1,2,30,5.800000000000001,1.17,0.073,0.62,0,0,0,0,0,-5.1000000000000005,0,0,0,0,0.311,45.37,114.12,0.92,0.18,976,0.7000000000000001,209,0.8
2013,1,1,3,30,5.4,1.17,0.073,0.62,0,0,0,0,0,-5.4,0,0,0,0,0.312,45.56,126.47,0.92,0.18,976,0.6000000000000001,219,0.6000000000000001
2013,1,1,4,30,5,1.17,0.07200000000000001,0.62,0,0,0,0,0,-5.6000000000000005,0,0,0,0,0.314,46.1,138.96,0.91,0.18,976,0.6000000000000001,177,0.30000000000000004
2013,1,1,5,30,4.3,1.18,0.07,0.62,0,0,0,0,0,-5.6000000000000005,0,0,0,0,0.314,48.42,151.33,0.91,0.18,977,0.6000000000000001,118,0.4
2013,1,1,6,30,3.5,1.18,0.068,0.62,0,0,0,0,0,-5.6000000000000005,0,0,0,0,0.314,51.35,162.84,0.91,0.18,977,0.6000000000000001,107,0.7000000000000001
2013,1,1,7,30,2.5,1.19,0.067,0.62,0,0,0,0,0,-5.4,0,0,0,0,0.315,56.09,169.48,0.91,0.18,977,0.6000000000000001,114,1
2013,1,1,8,30,1.6,1.2,0.066,0.62,0,0,0,0,0,-5.1000000000000005,0,0,0,0,0.316,61.24,163.46,0.91,0.18,977,0.6000000000000001,120,1.2000000000000002
2013,1,1,9,30,0.8,1.2,0.065,0.62,0,0,0,0,0,-4.7,0,0,0,0,0.317,66.74,152.06,0.9,0.18,977,0.6000000000000001,120,1.3
2013,1,1,10,30,0.2,1.2,0.065,0.62,0,0,0,0,0,-4.3,0,0,0,0,0.316,71.68,139.70000000000002,0.9,0.18,977,0.6000000000000001,115,1.3
2013,1,1,11,30,-0.2,1.21,0.065,0.62,0,0,0,0,0,-4.1000000000000005,0,0,0,0,0.316,75.13,127.21000000000001,0.9,0.18,977,0.6000000000000001,106,1.3
2013,1,1,12,30,-0.7000000000000001,1.22,0.064,0.62,0,0,0,0,0,-3.9000000000000004,0,0,0,0,0.317,78.69,114.85000000000001,0.9,0.18,977,0.6000000000000001,97,1.4000000000000001
2013,1,1,13,30,-0.9,1.23,0.063,0.62,0,0,0,0,1,-3.9000000000000004,0,0,0,0,0.317,80.38,102.81,0.9,0.18,978,0.6000000000000001,90,1.4000000000000001
