Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,137846,-,-,-,40.57,-122.38,0,161,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,30,7.300000000000001,0.99,0.026000000000000002,0.67,20,292,36,7,5,5.300000000000001,17,1,100,17,0.308,87.4,86.93,0.92,0.13,1002,1.6,318,0.8
2021,1,1,1,30,6.2,1,0.024,0.67,0,0,0,0,0,4.3,0,0,0,0,0.306,87.8,97.11,0.92,0.13,1002,1.6,321,0.8
2021,1,1,2,30,5.800000000000001,1.02,0.022,0.67,0,0,0,0,0,4,0,0,0,0,0.304,88.15,107.82000000000001,0.92,0.13,1002,1.7000000000000002,326,0.8
2021,1,1,3,30,5.5,1.05,0.021,0.67,0,0,0,0,0,3.6,0,0,0,0,0.304,87.71000000000001,118.99000000000001,0.92,0.13,1002,1.7000000000000002,331,0.8
2021,1,1,4,30,5.2,1.09,0.018000000000000002,0.67,0,0,0,0,0,3.2,0,0,0,0,0.303,86.76,130.36,0.92,0.13,1001,1.8,335,0.8
2021,1,1,5,30,5.1000000000000005,1.1300000000000001,0.016,0.67,0,0,0,0,0,2.8000000000000003,0,0,0,0,0.303,84.79,141.6,0.91,0.13,1001,1.9000000000000001,336,0.8
2021,1,1,6,30,5.1000000000000005,1.18,0.015,0.67,0,0,0,0,0,2.4000000000000004,0,0,0,0,0.303,82.61,152.1,0.91,0.13,1001,1.9000000000000001,331,0.8
2021,1,1,7,30,5,1.22,0.015,0.67,0,0,0,0,0,2.1,0,0,0,0,0.304,81.53,160.21,0.91,0.13,1000,1.9000000000000001,325,0.8
2021,1,1,8,30,4.800000000000001,1.26,0.015,0.67,0,0,0,0,0,1.9000000000000001,0,0,0,0,0.305,81.39,162.05,0.91,0.13,1000,1.9000000000000001,320,0.8
2021,1,1,9,30,4.7,1.29,0.016,0.67,0,0,0,0,4,1.6,0,0,0,0,0.306,80.18,156.1,0.91,0.13,1000,1.9000000000000001,318,0.7000000000000001
2021,1,1,10,30,4.6000000000000005,1.31,0.016,0.67,0,0,0,0,4,1.3,0,0,0,0,0.306,78.92,146.32,0.91,0.13,1000,1.8,320,0.6000000000000001
2021,1,1,11,30,4.6000000000000005,1.31,0.018000000000000002,0.67,0,0,0,0,7,1,0,0,0,0,0.306,77.39,135.29,0.91,0.13,999,1.7000000000000002,326,0.5
2021,1,1,12,30,4.4,1.3,0.022,0.67,0,0,0,0,4,0.9,0,0,0,0,0.307,78.06,123.92,0.92,0.13,999,1.5,335,0.5
2021,1,1,13,30,4.1000000000000005,1.29,0.025,0.67,0,0,0,0,8,0.7000000000000001,0,0,0,0,0.307,78.75,112.62,0.92,0.13,999,1.4000000000000001,174,0.5
