Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,447515,-,-,-,31.77,-106.5,0,1264,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2018,1,1,0,30,10.5,1.33,0.08600000000000001,0.61,0,0,0,0,7,-3.9000000000000004,0,0,0,0,0.296,36.03,94.13,0.9400000000000001,0.2,888,1.5,106,4.6000000000000005,0.0000,0.0000
2018,1,1,1,30,8.8,1.33,0.089,0.61,0,0,0,0,4,-4.4,0,0,0,0,0.296,39.050000000000004,106.03,0.9500000000000001,0.2,888,1.5,108,4.7,0.0000,0.0000
2018,1,1,2,30,7.6000000000000005,1.34,0.084,0.61,0,0,0,0,4,-5.1000000000000005,0,0,0,0,0.297,40.31,118.38,0.9400000000000001,0.2,889,1.5,110,4.9,0.0000,0.0000
2018,1,1,3,30,6.4,1.34,0.083,0.61,0,0,0,0,4,-5.800000000000001,0,0,0,0,0.298,41.2,131.01,0.9400000000000001,0.2,890,1.5,110,5.300000000000001,0.0000,0.0000
2018,1,1,4,30,5.1000000000000005,1.32,0.085,0.61,0,0,0,0,4,-6.7,0,0,0,0,0.298,42.13,143.75,0.9400000000000001,0.2,890,1.5,109,5.7,0.0000,0.0000
2018,1,1,5,30,3.9000000000000004,1.3,0.092,0.61,0,0,0,0,4,-7.5,0,0,0,0,0.299,43.18,156.31,0.9500000000000001,0.2,891,1.6,109,5.9,0.0000,0.0000
2018,1,1,6,30,3,1.29,0.095,0.61,0,0,0,0,4,-8.200000000000001,0,0,0,0,0.298,43.550000000000004,167.62,0.9500000000000001,0.2,891,1.6,109,5.9,0.0000,0.0000
2018,1,1,7,30,2.3000000000000003,1.29,0.096,0.61,0,0,0,0,4,-8.8,0,0,0,0,0.298,43.7,170.13,0.9500000000000001,0.2,891,1.6,107,5.9,0.0000,0.0000
2018,1,1,8,30,1.6,1.29,0.094,0.61,0,0,0,0,4,-9.200000000000001,0,0,0,0,0.298,44.45,160.15,0.9500000000000001,0.2,891,1.5,104,5.9,0.0000,0.0000
2018,1,1,9,30,1,1.28,0.089,0.61,0,0,0,0,4,-9.5,0,0,0,0,0.299,45.57,147.77,0.9500000000000001,0.2,891,1.5,102,5.800000000000001,0.0000,0.0000
