Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,323704,-,-,-,33.49,-112.06,0,343,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,15.8,1.1500000000000001,0.049,0.62,0,0,0,0,0,-1.1,0,0,0,0,0.273,31.55,90.13,0.88,0.18,973,1,277,1
2014,1,1,1,30,14.100000000000001,1.16,0.049,0.62,0,0,0,0,0,-1.9000000000000001,0,0,0,0,0.275,33.01,102.15,0.88,0.18,974,1,313,1.2000000000000002
2014,1,1,2,30,12.200000000000001,1.16,0.05,0.62,0,0,0,0,0,-1.4000000000000001,0,0,0,0,0.275,38.77,114.16,0.88,0.18,974,1,345,1.4000000000000001
2014,1,1,3,30,11,1.17,0.051000000000000004,0.62,0,0,0,0,0,-1.1,0,0,0,0,0.276,42.93,126.5,0.88,0.18,974,1,190,1.5
2014,1,1,4,30,10.4,1.17,0.051000000000000004,0.62,0,0,0,0,0,-1.3,0,0,0,0,0.277,44.1,138.99,0.88,0.18,974,1,34,1.5
2014,1,1,5,30,10,1.17,0.05,0.62,0,0,0,0,0,-1.6,0,0,0,0,0.278,44.47,151.36,0.88,0.18,974,1,55,1.5
2014,1,1,6,30,9.600000000000001,1.17,0.051000000000000004,0.62,0,0,0,0,0,-1.7000000000000002,0,0,0,0,0.281,45.07,162.87,0.88,0.18,974,1,68,1.5
2014,1,1,7,30,9,1.18,0.05,0.62,0,0,0,0,0,-1.9000000000000001,0,0,0,0,0.28400000000000003,46.46,169.5,0.88,0.18,973,1,76,1.5
2014,1,1,8,30,8.5,1.19,0.048,0.62,0,0,0,0,0,-2,0,0,0,0,0.28600000000000003,47.76,163.45000000000002,0.87,0.18,973,1,82,1.5
2014,1,1,9,30,8,1.2,0.047,0.62,0,0,0,0,0,-2.1,0,0,0,0,0.28800000000000003,49.02,152.04,0.87,0.18,973,0.9,84,1.5
2014,1,1,10,30,7.4,1.21,0.046,0.62,0,0,0,0,0,-2.2,0,0,0,0,0.291,50.53,139.69,0.87,0.18,973,0.9,83,1.5
2014,1,1,11,30,7,1.23,0.045,0.62,0,0,0,0,0,-2.4000000000000004,0,0,0,0,0.294,51.24,127.19,0.86,0.18,973,0.9,80,1.5
2014,1,1,12,30,6.5,1.24,0.045,0.62,0,0,0,0,0,-2.6,0,0,0,0,0.298,52.34,114.83,0.86,0.18,974,0.8,76,1.5
2014,1,1,13,30,6.2,1.25,0.046,0.62,0,0,0,0,1,-2.8000000000000003,0,0,0,0,0.3,52.68,102.8,0.86,0.18,974,0.8,74,1.5
2014,1,1,14,30,7.7,1.26,0.045,0.62,0,0,0,0,1,-2.8000000000000003,0,0,0,0,0.301,47.32,91.3,0.86,0.18,975,0.8,76,1.5
