Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,247933,-,-,-,40.85,-115.78,0,1602,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2010,1,1,0,30,-3.7,1.28,0.028,0.64,0,0,0,0,8,-6.300000000000001,0,0,0,0,0.301,82.11,91.60000000000001,0.9500000000000001,0.76,839,1.2000000000000002,212,2
2010,1,1,1,30,-4.2,1.29,0.029,0.64,0,0,0,0,7,-6.800000000000001,0,0,0,0,0.303,81.91,101.88,0.9500000000000001,0.76,840,1.2000000000000002,212,2
2010,1,1,2,30,-4.2,1.28,0.029,0.64,0,0,0,0,8,-7,0,0,0,0,0.304,80.96000000000001,112.78,0.9500000000000001,0.76,840,1.2000000000000002,214,2
2010,1,1,3,30,-3.8000000000000003,1.28,0.028,0.64,0,0,0,0,6,-6.7,0,0,0,0,0.304,80.16,124.03,0.9500000000000001,0.76,840,1.2000000000000002,218,2.1
2010,1,1,4,30,-3.3000000000000003,1.27,0.028,0.64,0,0,0,0,7,-6,0,0,0,0,0.304,81.42,135.34,0.9500000000000001,0.76,840,1.2000000000000002,222,2.2
2010,1,1,5,30,-3.3000000000000003,1.27,0.027,0.64,0,0,0,0,7,-5.6000000000000005,0,0,0,0,0.305,83.85000000000001,146.3,0.9500000000000001,0.76,840,1.2000000000000002,225,2.1
2010,1,1,6,30,-3.7,1.27,0.025,0.64,0,0,0,0,6,-6,0,0,0,0,0.306,84.14,155.98,0.9500000000000001,0.76,841,1.1,223,2
2010,1,1,7,30,-4,1.25,0.027,0.64,0,0,0,0,8,-6.6000000000000005,0,0,0,0,0.306,82.14,161.82,0.9500000000000001,0.76,841,1,220,2
2010,1,1,8,30,-4.2,1.21,0.029,0.64,0,0,0,0,7,-7,0,0,0,0,0.305,80.97,159.95000000000002,0.9500000000000001,0.76,841,1,217,2
2010,1,1,9,30,-4.7,1.19,0.031,0.64,0,0,0,0,7,-7.5,0,0,0,0,0.303,80.95,151.91,0.9500000000000001,0.76,841,0.9,213,2
2010,1,1,10,30,-5,1.17,0.034,0.64,0,0,0,0,6,-8.3,0,0,0,0,0.301,77.91,141.47,0.9500000000000001,0.76,841,1,212,2
2010,1,1,11,30,-4.6000000000000005,1.1500000000000001,0.038,0.64,0,0,0,0,7,-8.5,0,0,0,0,0.299,73.98,130.28,0.9500000000000001,0.76,841,1.1,214,2
2010,1,1,12,30,-3.9000000000000004,1.1400000000000001,0.037,0.64,0,0,0,0,7,-7.9,0,0,0,0,0.297,73.68,118.95,0.9500000000000001,0.76,841,1.1,211,2.1
2010,1,1,13,30,-3.5,1.17,0.038,0.64,0,0,0,0,6,-7.2,0,0,0,0,0.294,75.58,107.82000000000001,0.9500000000000001,0.76,841,1.1,206,2.1
2010,1,1,14,30,-3.1,1.19,0.039,0.64,0,0,0,0,6,-6.800000000000001,0,0,0,0,0.291,75.73,97.16,0.9500000000000001,0.76,841,1.1,205,2.4000000000000004
2010,1,1,15,30,-2.2,1.19,0.04,0.64,20,314,36,7,6,-6.300000000000001,13,0,7,13,0.289,73.46000000000001,87.04,0.9500000000000001,0.76,841,1.1,211,3
2010,1,1,16,30,-0.7000000000000001,1.2,0.039,0.64,47,670,182,0,6,-4.9,27,0,0,27,0.28800000000000003,73.32000000000001,78.4,0.9500000000000001,0.76,841,1.2000000000000002,215,3.6
2010,1,1,17,30,0.5,1.21,0.035,0.64,61,815,323,0,7,-3.2,44,0,0,44,0.28600000000000003,76.08,71.24,0.9500000000000001,0.76,841,1.2000000000000002,216,3.8000000000000003
