Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,261300,-,-,-,36.29,-115.1,0,686,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2013,1,1,0,30,3.6,0.88,0.029,0.62,0,0,0,0,0,-10.600000000000001,0,0,0,0,0.312,34.550000000000004,89.36,0.91,0.25,942,0.4,331,1
2013,1,1,1,30,3.2,0.9,0.027,0.62,0,0,0,0,0,-12.200000000000001,0,0,0,0,0.31,31.29,100.74000000000001,0.91,0.25,942,0.4,321,0.9
2013,1,1,2,30,2.7,0.92,0.026000000000000002,0.62,0,0,0,0,0,-12.4,0,0,0,0,0.309,31.86,112.31,0.9,0.25,943,0.4,316,0.9
2013,1,1,3,30,2.1,0.9500000000000001,0.025,0.62,0,0,0,0,0,-12.5,0,0,0,0,0.309,33.160000000000004,124.23,0.9,0.25,943,0.4,322,1
2013,1,1,4,30,1.6,0.96,0.024,0.62,0,0,0,0,0,-12.4,0,0,0,0,0.309,34.43,136.31,0.9,0.25,943,0.4,340,1.1
2013,1,1,5,30,1,0.97,0.023,0.62,0,0,0,0,0,-12.4,0,0,0,0,0.308,36.08,148.21,0.89,0.25,944,0.4,180,1.2000000000000002
2013,1,1,6,30,0.2,0.98,0.022,0.62,0,0,0,0,0,-12.200000000000001,0,0,0,0,0.308,38.7,159.20000000000002,0.89,0.25,944,0.5,16,1.3
2013,1,1,7,30,-0.6000000000000001,1,0.022,0.62,0,0,0,0,0,-12,0,0,0,0,0.308,41.93,166.35,0.89,0.25,944,0.5,20,1.3
2013,1,1,8,30,-1.2000000000000002,1.03,0.022,0.62,0,0,0,0,0,-11.700000000000001,0,0,0,0,0.308,44.89,163.38,0.89,0.25,944,0.5,13,1.3
2013,1,1,9,30,-1.6,1.07,0.022,0.62,0,0,0,0,0,-11.4,0,0,0,0,0.309,47.17,153.53,0.89,0.25,945,0.5,184,1.3
2013,1,1,10,30,-1.9000000000000001,1.11,0.022,0.62,0,0,0,0,0,-11.200000000000001,0,0,0,0,0.31,48.99,141.89000000000001,0.89,0.25,944,0.6000000000000001,358,1.3
2013,1,1,11,30,-2.2,1.1300000000000001,0.023,0.62,0,0,0,0,0,-11.100000000000001,0,0,0,0,0.313,50.620000000000005,129.85,0.89,0.25,944,0.6000000000000001,356,1.3
2013,1,1,12,30,-2.3000000000000003,1.1500000000000001,0.025,0.62,0,0,0,0,0,-11,0,0,0,0,0.316,51.34,117.82000000000001,0.89,0.25,944,0.6000000000000001,355,1.4000000000000001
2013,1,1,13,30,-2.5,1.1500000000000001,0.025,0.62,0,0,0,0,0,-11,0,0,0,0,0.32,52.19,106.05,0.89,0.25,944,0.6000000000000001,352,1.6
2013,1,1,14,30,-1.7000000000000002,1.1500000000000001,0.025,0.62,0,0,0,0,0,-11,0,0,0,0,0.321,49.14,94.77,0.89,0.25,945,0.6000000000000001,349,2.3000000000000003
2013,1,1,15,30,0.1,1.23,0.023,0.62,27,533,81,0,1,-11,27,533,0,81,0.321,43.12,84.12,0.88,0.25,946,0.6000000000000001,177,3.5
2013,1,1,16,30,2.3000000000000003,1.2,0.022,0.62,46,803,256,0,0,-11.5,46,803,0,256,0.319,35.36,74.83,0.88,0.25,946,0.5,13,4.3
2013,1,1,17,30,4.2,1.17,0.021,0.62,55,910,408,0,0,-12.100000000000001,55,910,0,408,0.318,29.47,67.14,0.89,0.25,946,0.5,22,4.3
2013,1,1,18,30,5.800000000000001,0.99,0.025,0.62,63,951,514,0,0,-12.5,63,951,0,514,0.316,25.46,61.74,0.89,0.25,946,0.5,25,4.2
2013,1,1,19,30,7,0.98,0.024,0.62,65,971,561,0,0,-12.700000000000001,65,971,0,561,0.313,23.19,59.29,0.89,0.25,945,0.5,27,4.2
2013,1,1,20,30,7.7,0.97,0.023,0.62,64,966,544,0,0,-12.700000000000001,64,966,0,544,0.312,22.09,60.17,0.89,0.25,945,0.5,28,4.3
2013,1,1,21,30,8,1.05,0.018000000000000002,0.62,56,942,465,0,0,-12.700000000000001,56,942,0,465,0.313,21.55,64.24,0.88,0.25,944,0.5,28,4.3
2013,1,1,22,30,7,1,0.018000000000000002,0.62,49,870,333,0,0,-12.600000000000001,49,870,0,333,0.314,23.34,70.93,0.88,0.25,944,0.5,28,3.3000000000000003
2013,1,1,23,30,4,0.9500000000000001,0.018000000000000002,0.62,36,708,165,0,0,-10.3,36,708,0,165,0.315,34.42,79.55,0.88,0.25,944,0.5,27,2
2013,1,2,0,30,1.4000000000000001,0.96,0.017,0.62,0,0,0,0,0,-10,0,0,0,0,0.316,42.5,89.23,0.88,0.25,945,0.4,26,1.8
