Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060499,-,-,-,25.77,-80.18,0,7,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2008,1,1,0,30,24.8,0.97,0.053,0.67,0,0,0,0,0,22.3,0,0,0,0,0.232,85.84,113.98,0.96,0.09,1018,3.8000000000000003,161,2.8000000000000003,0.0000,0.0000
2008,1,1,1,30,24.700000000000003,0.96,0.052000000000000005,0.67,0,0,0,0,1,22.400000000000002,0,0,0,0,0.232,86.86,127.14,0.96,0.09,1019,3.8000000000000003,160,2.9000000000000004,0.0000,0.0000
2008,1,1,2,30,24.6,0.9500000000000001,0.053,0.67,0,0,0,0,0,22.400000000000002,0,0,0,0,0.232,87.68,140.51,0.96,0.09,1019,3.8000000000000003,161,3,0.0000,0.0000
2008,1,1,3,30,24.5,0.93,0.054,0.67,0,0,0,0,0,22.400000000000002,0,0,0,0,0.233,88.31,153.99,0.96,0.09,1019,3.8000000000000003,160,3,0.0000,0.0000
2008,1,1,4,30,24.400000000000002,0.89,0.057,0.67,0,0,0,0,0,22.400000000000002,0,0,0,0,0.233,88.76,167.44,0.97,0.09,1019,3.9000000000000004,158,3,0.0000,0.0000
2008,1,1,5,30,24.3,0.86,0.06,0.67,0,0,0,0,0,22.400000000000002,0,0,0,0,0.234,89.01,176.95000000000002,0.97,0.09,1018,3.9000000000000004,157,3,0.0000,0.0000
2008,1,1,6,30,24.200000000000003,0.8300000000000001,0.063,0.67,0,0,0,0,0,22.3,0,0,0,0,0.234,89.12,164.72,0.97,0.09,1018,3.9000000000000004,157,2.8000000000000003,0.0000,0.0000
2008,1,1,7,30,24.200000000000003,0.8200000000000001,0.064,0.67,0,0,0,0,3,22.200000000000003,0,0,0,0,0.234,88.44,151.24,0.97,0.09,1018,3.9000000000000004,158,2.6,0.0000,0.0000
2008,1,1,8,30,24.1,0.81,0.065,0.67,0,0,0,0,3,22,0,0,0,0,0.23500000000000001,88.14,137.78,0.97,0.09,1018,3.9000000000000004,159,2.4000000000000004,0.0000,0.0000
2008,1,1,9,30,24,0.8,0.065,0.67,0,0,0,0,1,21.900000000000002,0,0,0,0,0.23500000000000001,87.98,124.44,0.97,0.09,1019,3.9000000000000004,158,2.2,0.0000,0.0000
