Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,734372,-,-,-,29.77,-95.38,0,20,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2015,1,1,0,30,6.7,1.43,0.063,0.63,0,0,0,0,4,4,0,0,0,0,0.263,83.07000000000001,102.28,0.9400000000000001,0.17,1026,2.8000000000000003,359,2.3000000000000003
2015,1,1,1,30,6.2,1.43,0.059000000000000004,0.63,0,0,0,0,6,4.1000000000000005,0,0,0,0,0.262,86.48,114.75,0.9400000000000001,0.17,1026,2.8000000000000003,181,2.4000000000000004
2015,1,1,2,30,5.9,1.4000000000000001,0.056,0.63,0,0,0,0,7,4.1000000000000005,0,0,0,0,0.263,88.10000000000001,127.55,0.9400000000000001,0.17,1026,2.8000000000000003,3,2.4000000000000004
2015,1,1,3,30,5.800000000000001,1.3900000000000001,0.055,0.63,0,0,0,0,7,4,0,0,0,0,0.263,88.28,140.52,0.9400000000000001,0.17,1026,2.9000000000000004,5,2.3000000000000003
2015,1,1,4,30,5.7,1.3800000000000001,0.056,0.63,0,0,0,0,7,3.9000000000000004,0,0,0,0,0.264,88.46000000000001,153.5,0.9400000000000001,0.17,1025,2.9000000000000004,12,2.2
2015,1,1,5,30,5.7,1.3800000000000001,0.056,0.63,0,0,0,0,7,3.9000000000000004,0,0,0,0,0.265,88.27,166.01,0.9400000000000001,0.17,1025,3,18,2.2
2015,1,1,6,30,5.6000000000000005,1.3800000000000001,0.057,0.63,0,0,0,0,4,3.9000000000000004,0,0,0,0,0.266,88.54,173.15,0.9400000000000001,0.17,1024,3,21,2.3000000000000003
2015,1,1,7,30,5.6000000000000005,1.36,0.058,0.63,0,0,0,0,7,3.9000000000000004,0,0,0,0,0.267,88.69,163.95000000000002,0.9400000000000001,0.17,1024,3.1,27,2.3000000000000003
2015,1,1,8,30,5.6000000000000005,1.35,0.057,0.63,0,0,0,0,7,3.9000000000000004,0,0,0,0,0.267,89,151.27,0.9400000000000001,0.17,1023,3.1,33,2.3000000000000003
2015,1,1,9,30,5.5,1.33,0.058,0.63,0,0,0,0,6,4,0,0,0,0,0.268,89.95,138.27,0.9500000000000001,0.17,1023,3.2,38,2.3000000000000003
2015,1,1,10,30,5.5,1.3,0.063,0.63,0,0,0,0,7,3.9000000000000004,0,0,0,0,0.269,89.73,125.32000000000001,0.9500000000000001,0.17,1022,3.2,41,2.3000000000000003
